Fold,model__colsample_bytree,model__gamma,model__learning_rate,model__max_depth,model__min_child_weight,model__n_estimators,model__reg_alpha,model__reg_lambda,model__subsample
1,0.6431565707973218,0.01885751141204055,0.060912832901102436,7,5,395,1.0,2,0.7417994363217627
2,0.6186662652854461,0.5842533113048755,0.028621707234424337,6,4,866,1.0,10,0.8400288679743939
3,0.8211572356285312,0.3556180343276361,0.01646826610661722,6,1,593,1.0,1,0.8896917491780738
4,0.7410275425336676,0.1828687548948174,0.02317246825143534,6,1,617,0.0,1,0.7359596102001048
5,0.9977829850443283,0.10555515160640723,0.01144602908924167,8,4,803,1.0,10,0.9547670231482533
