Accuracy,Precision,Recall,F1-score,ROC-AUC,PR-AUC,Brier Score
0.8913219789132197,0.6694677871148459,0.6143958868894601,0.6407506702412868,0.9228086287197399,0.713401051039069,0.08461635165056756
0.8949716139497161,0.6772486772486772,0.6513994910941476,0.6640726329442282,0.9261055445697683,0.727596492880755,0.08729577664875907
0.8994322789943228,0.7157894736842105,0.6601941747572816,0.6868686868686869,0.9315106209999906,0.7648513022527768,0.08295508769236438
0.8921330089213301,0.6592039800995025,0.6725888324873096,0.6658291457286433,0.9260835799541385,0.7348913246653223,0.08688843347299276
0.8957826439578265,0.6684073107049608,0.6632124352331606,0.6657997399219766,0.9197800418493425,0.7146134328409773,0.09100332455497313
0.8896999188969992,0.6331521739130435,0.6297297297297297,0.6314363143631436,0.9219452754280999,0.7026330921008438,0.08846879340422688
0.8961881589618816,0.6818181818181818,0.6505102040816326,0.6657963446475196,0.9302491488398639,0.7531709880485532,0.0832577892445488
0.8965936739659367,0.6174698795180723,0.6156156156156156,0.6165413533834586,0.9184458720323698,0.7047784672496904,0.08631904335542638
0.8925385239253852,0.6494565217391305,0.6373333333333333,0.6433378196500673,0.9227355332376853,0.7146296854992666,0.08843239317614789
0.8969991889699919,0.6492753623188405,0.6274509803921569,0.6381766381766382,0.9173848771371991,0.7010847136338877,0.0858028998889444
0.8941605839416058,0.6321525885558583,0.6480446927374302,0.64,0.9179383142696618,0.7143576214736813,0.08898685744039188
0.884022708840227,0.6534090909090909,0.583756345177665,0.6166219839142091,0.9087507104639084,0.6866037140284129,0.09169431319700322
0.8905109489051095,0.6462395543175488,0.6186666666666667,0.6321525885558583,0.9107769807109836,0.7099152008461862,0.09344278071599545
0.8941605839416058,0.6530612244897959,0.6719160104986877,0.6623544631306598,0.9208343561371376,0.7157951817006838,0.09239846872970335
0.8921330089213301,0.6329787234042553,0.6502732240437158,0.6415094339622641,0.9176775956284153,0.704114784997563,0.09135786543861803
0.8990267639902676,0.6539440203562341,0.6945945945945946,0.6736566186107471,0.9347470084588406,0.7295455324927729,0.08478875906310722
0.8986212489862125,0.6835106382978723,0.6623711340206185,0.6727748691099477,0.9334523183473404,0.7662219236379352,0.08225865714514959
0.8880778588807786,0.6300268096514745,0.6300268096514745,0.6300268096514745,0.9185655235311372,0.6879351404467613,0.08968531028290325
0.9059205190592052,0.6873239436619718,0.6684931506849315,0.6777777777777778,0.9323062077419102,0.7302944918544974,0.08040194130440227
0.8965936739659367,0.6595174262734584,0.6577540106951871,0.6586345381526104,0.9247681516548911,0.7169090167782346,0.08715803017257226
0.9075425790754258,0.6961325966850829,0.6810810810810811,0.6885245901639344,0.9365561171858883,0.7556310597779033,0.07925308631590382
0.9006488240064883,0.6876640419947506,0.6752577319587629,0.6814044213263979,0.9233873768393479,0.7267553961802821,0.08792967191758128
0.8961881589618816,0.6571428571428571,0.6710875331564987,0.6640419947506562,0.9379965538827228,0.7407680244808857,0.08307180183534914
0.8917274939172749,0.6541554959785523,0.6387434554973822,0.6463576158940397,0.9236001547567605,0.7240659438050338,0.08796165621066643
0.8901054339010543,0.6170212765957447,0.6462395543175488,0.6312925170068027,0.9127791299197661,0.7237570093526953,0.0917008851967779
0.8978102189781022,0.6559139784946236,0.6630434782608695,0.6594594594594595,0.9263454843121813,0.7423344297306445,0.08360748359658546
0.902676399026764,0.7094240837696335,0.6775,0.6930946291560103,0.9263601161665054,0.7552023990206923,0.08428690953323907
0.8913219789132197,0.6675461741424802,0.640506329113924,0.6537467700258398,0.911521982287038,0.7230831172406756,0.09205069207048619
0.8929440389294404,0.6777493606138107,0.6575682382133995,0.6675062972292192,0.9258205244476412,0.7433524109028512,0.08768756618844027
0.8852392538523925,0.6549865229110512,0.6105527638190955,0.6319895968790638,0.9079221056928745,0.68169692972416,0.09501209188135096
0.8961881589618816,0.6760925449871465,0.6692111959287532,0.6726342710997443,0.9259447470138911,0.7274112980339535,0.08918609762709127
0.8929440389294404,0.6356589147286822,0.6666666666666666,0.6507936507936508,0.9197718252814383,0.7014472450526565,0.09013494241950007
0.9018653690186537,0.6893732970027248,0.6640419947506562,0.6764705882352942,0.9244170018316056,0.722034381783674,0.08469970071238968
0.8872668288726683,0.6216216216216216,0.6710875331564987,0.6454081632653061,0.9238895667974092,0.7187269275665047,0.09288470977415333
0.8986212489862125,0.6611570247933884,0.6539509536784741,0.6575342465753424,0.9236109578584846,0.7138121668657428,0.08682736209636319
0.9018653690186537,0.6939313984168866,0.6760925449871465,0.6848958333333334,0.9311890666907605,0.7542743634544483,0.08163138589631724
0.8905109489051095,0.6469072164948454,0.6536458333333334,0.6502590673575129,0.9226867695325007,0.7162623079987747,0.09025126199402732
0.9002433090024331,0.6504854368932039,0.5929203539823009,0.6203703703703703,0.9200447123859133,0.7070668397851951,0.08438157396047977
0.8965936739659367,0.6349206349206349,0.6722689075630253,0.6530612244897959,0.9243843578208903,0.7186350918489213,0.08664563588670907
0.8856447688564477,0.6469072164948454,0.6338383838383839,0.6403061224489796,0.9137900746596399,0.6765394375294342,0.09585979220601741
0.8986212489862125,0.6253369272237197,0.6763848396501457,0.6498599439775911,0.9211001539435504,0.6866171512477324,0.08832134176669065
0.8965936739659367,0.6514745308310992,0.6603260869565217,0.6558704453441295,0.9238910245782733,0.7054721703723607,0.0870862394190272
0.8905109489051095,0.6640211640211641,0.6370558375634517,0.6502590673575129,0.9133883248730963,0.7208267655062272,0.09144957822960495
0.9063260340632603,0.696969696969697,0.6764705882352942,0.6865671641791045,0.9333608552059794,0.754458938707363,0.08211355407601689
0.9059205190592052,0.6916890080428955,0.688,0.6898395721925134,0.9291426749561613,0.7594870320251151,0.08341766817594772
0.8994322789943228,0.6609195402298851,0.6388888888888888,0.6497175141242938,0.9300991875065948,0.7261179914388962,0.0830308653639604
0.8917274939172749,0.6718346253229974,0.65,0.6607369758576874,0.9212136979670862,0.7270827465406393,0.08811776281797573
0.8909164639091647,0.6702412868632708,0.6313131313131313,0.6501950585175552,0.9320194700629483,0.7460668841695602,0.08433513383650348
0.8876723438767234,0.6549865229110512,0.6198979591836735,0.6369593709043251,0.913191506110641,0.7040991751225609,0.09274903040697281
0.8990267639902676,0.6809116809116809,0.6356382978723404,0.657496561210454,0.9270385829176422,0.7397982325669246,0.08134617190827276
0.9022708840227088,0.671957671957672,0.6846361185983828,0.678237650200267,0.9280522872453345,0.7312213133189185,0.08381795184325364
0.8864557988645579,0.6608040201005025,0.6446078431372549,0.652605459057072,0.9132926980315936,0.7046300339762868,0.09335866848496223
0.8933495539334956,0.6620879120879121,0.6325459317585301,0.6469798657718121,0.9284289104149752,0.7164176568280063,0.08671118563666785
0.8933495539334956,0.6640211640211641,0.648578811369509,0.6562091503267974,0.9289610762478979,0.7244626519447475,0.0852877533757011
0.8969991889699919,0.6446991404011462,0.6338028169014085,0.6392045454545454,0.9236460925667697,0.7115560668028482,0.08519329698520381
0.8933495539334956,0.646112600536193,0.6478494623655914,0.6469798657718121,0.9160517505212025,0.7161670527667637,0.08940514462388081
0.8929440389294404,0.6699029126213593,0.6831683168316832,0.6764705882352942,0.9262527489412374,0.7536830376930411,0.0888229172983332
0.9014598540145985,0.6538461538461539,0.6704225352112676,0.6620305980528511,0.9260039631440943,0.7568588326012381,0.08330376979831455
0.8844282238442822,0.6551724137931034,0.6144278606965174,0.6341463414634146,0.909890952215666,0.7161007939640894,0.09421557270008049
