Accuracy,Precision,Recall,F1-score,ROC-AUC,PR-AUC,Brier Score
0.8896999188969992,0.6242038216560509,0.7557840616966581,0.6837209302325581,0.9228086287197399,0.713401051039069,0.08461635165056756
0.8819951338199513,0.6,0.7786259541984732,0.6777408637873754,0.9261055445697683,0.727596492880755,0.08729577664875907
0.8852392538523925,0.6272189349112426,0.7718446601941747,0.6920565832426551,0.9315106209999906,0.7648513022527768,0.08295508769236438
0.8787510137875101,0.5925925925925926,0.7715736040609137,0.6703417861080485,0.9260835799541385,0.7348913246653223,0.08688843347299276
0.8742903487429035,0.5763052208835341,0.7435233160621761,0.6493212669683258,0.9197800418493425,0.7146134328409773,0.09100332455497313
0.8791565287915653,0.575,0.745945945945946,0.6494117647058824,0.9219452754280999,0.7026330921008438,0.08846879340422688
0.8933495539334956,0.6297786720321932,0.798469387755102,0.7041619797525309,0.9302491488398639,0.7531709880485532,0.0832577892445488
0.8848337388483374,0.5533769063180828,0.7627627627627628,0.6414141414141414,0.9184458720323698,0.7047784672496904,0.08631904335542638
0.8767234387672344,0.5734989648033126,0.7386666666666667,0.6456876456876457,0.9227355332376853,0.7146296854992666,0.08843239317614789
0.8864557988645579,0.5861297539149888,0.7338935574229691,0.6517412935323383,0.9173848771371991,0.7010847136338877,0.0858028998889444
0.8819951338199513,0.5685071574642127,0.776536312849162,0.6564344746162928,0.9179383142696618,0.7143576214736813,0.08898685744039188
0.8759124087591241,0.5952380952380952,0.6979695431472082,0.6425233644859814,0.9087507104639084,0.6866037140284129,0.09169431319700322
0.8710462287104623,0.5587628865979382,0.7226666666666667,0.6302325581395349,0.9107769807109836,0.7099152008461862,0.09344278071599545
0.8742903487429035,0.5673624288425048,0.7847769028871391,0.6585903083700441,0.9208343561371376,0.7157951817006838,0.09239846872970335
0.8742903487429035,0.5546875,0.7759562841530054,0.6469248291571754,0.9176775956284153,0.704114784997563,0.09135786543861803
0.884022708840227,0.5817120622568094,0.8081081081081081,0.6764705882352942,0.9347470084588406,0.7295455324927729,0.08478875906310722
0.8888888888888888,0.614,0.7912371134020618,0.6914414414414415,0.9334523183473404,0.7662219236379352,0.08225865714514959
0.8807785888077859,0.5811088295687885,0.7587131367292225,0.6581395348837209,0.9185655235311372,0.6879351404467613,0.08968531028290325
0.8921330089213301,0.6020618556701031,0.8,0.6870588235294117,0.9323062077419102,0.7302944918544974,0.08040194130440227
0.8828061638280617,0.5862068965517241,0.7727272727272727,0.6666666666666666,0.9247681516548911,0.7169090167782346,0.08715803017257226
0.8925385239253852,0.6114649681528662,0.7783783783783784,0.6848989298454221,0.9365561171858883,0.7556310597779033,0.07925308631590382
0.8803730738037308,0.5924453280318092,0.7680412371134021,0.6689113355780022,0.9233873768393479,0.7267553961802821,0.08792967191758128
0.8896999188969992,0.6047904191616766,0.8037135278514589,0.6902050113895216,0.9379965538827228,0.7407680244808857,0.08307180183534914
0.8844282238442822,0.5983772819472617,0.7722513089005235,0.6742857142857143,0.9236001547567605,0.7240659438050338,0.08796165621066643
0.875506893755069,0.5530612244897959,0.754874651810585,0.6383981154299175,0.9127791299197661,0.7237570093526953,0.0917008851967779
0.8852392538523925,0.5876288659793815,0.7744565217391305,0.6682297772567409,0.9263454843121813,0.7423344297306445,0.08360748359658546
0.8852392538523925,0.6167664670658682,0.7725,0.6859045504994451,0.9263601161665054,0.7552023990206923,0.08428690953323907
0.8746958637469586,0.5856573705179283,0.7443037974683544,0.6555183946488294,0.911521982287038,0.7230831172406756,0.09205069207048619
0.8803730738037308,0.603448275862069,0.7816377171215881,0.6810810810810811,0.9258205244476412,0.7433524109028512,0.08768756618844027
0.8751013787510138,0.59,0.7412060301507538,0.6570155902004454,0.9079221056928745,0.68169692972416,0.09501209188135096
0.8791565287915653,0.5911708253358925,0.7837150127226463,0.6739606126914661,0.9259447470138911,0.7274112980339535,0.08918609762709127
0.8779399837793999,0.5691056910569106,0.7588075880758808,0.6504065040650406,0.9197718252814383,0.7014472450526565,0.09013494241950007
0.8868613138686131,0.6049382716049383,0.7716535433070866,0.6782006920415224,0.9244170018316056,0.722034381783674,0.08469970071238968
0.8706407137064072,0.5562015503875969,0.7612732095490716,0.6427771556550952,0.9238895667974092,0.7187269275665047,0.09288470977415333
